pair_id,active,kalshi_ticker,kalshi_title,kalshi_side_held,kalshi_quantity,polymarket_ticker,polymarket_title,polymarket_side_held,polymarket_quantity,close_time,match_score,max_position_per_pair_usd,min_profit_pct,min_liquidity_usd,cooldown_minutes,notes
kxuapfiles_27__trump_declassifies_new_ufo_files_by_december_31,True,KXUAPFILES-27,Will Trump release new UFO files before 2027?,NO,629.0,trump-declassifies-new-ufo-files-by-december-31,Trump declassifies new UFO files by December 31?,YES,628.51,2026-03-31,0.7791,100.0,1.0,50.0,30,created from current portfolio holdings
kxtrumpstates_27jan01_nv__will_donald_trump_visit_nevada_in_2026,True,KXTRUMPSTATES-27JAN01-NV,"Will Donald Trump visit Nevada before Jan 1, 2027?",NO,196.0,will-donald-trump-visit-nevada-in-2026,Will Donald Trump visit Nevada in 2026?,YES,159.62,2026-12-31,0.962,100.0,1.0,50.0,30,created from current portfolio holdings
kxtrumpstates_27jan01_ak__will_donald_trump_visit_alaska_in_2026,True,KXTRUMPSTATES-27JAN01-AK,"Will Donald Trump visit Alaska before Jan 1, 2027?",YES,73.0,will-donald-trump-visit-alaska-in-2026,Will Donald Trump visit Alaska in 2026?,NO,73.0,2026-12-31,0.9654,100.0,1.0,50.0,30,created from current portfolio holdings
kxleadersout_27jan01_cshepmex__claudia_sheinbaum_out_as_president_of_mexico_by_december_31,True,KXLEADERSOUT-27JAN01-CSHEPMEX,"Will Claudia Sheinbaum leave President of Mexico before Jan 1, 2027?",YES,31.0,claudia-sheinbaum-out-as-president-of-mexico-by-december-31,Claudia Sheinbaum out as President of Mexico by December 31?,NO,31.0,2026-12-31,0.855,100.0,1.0,50.0,30,created from current portfolio holdings
kxipo_26_discord__discord_ipo_before_2027,True,KXIPO-26-DISCORD,Who will IPO before 2027?,YES,470.0,discord-ipo-before-2027,Discord IPO before 2027?,NO,470.97,2026-12-31,0.6657,100.0,1.0,50.0,30,created from current portfolio holdings
kxvenezuelaleader_26dec31_nmad__will_nicols_maduro_be_the_leader_of_venezuela_end_of_2026,True,KXVENEZUELALEADER-26DEC31-NMAD,"Will Nicolás Maduro be the head of state of Venezuela on Dec 31, 2026?",YES,615.0,will-nicols-maduro-be-the-leader-of-venezuela-end-of-2026,Will Nicolás Maduro be the leader of Venezuela end of 2026?,NO,615.171975,2026-12-31,0.9251,100.0,1.0,50.0,30,created from current portfolio holdings
kxnetanyahupardon_26_jul01__will_netanyahu_be_pardoned_by_june_30,True,KXNETANYAHUPARDON-26-JUL01,"Will Benjamin Netanyahu be pardoned before Jul 1, 2026?",YES,145.0,will-netanyahu-be-pardoned-by-june-30,Will Netanyahu be pardoned by June 30?,NO,135.0,2026-06-30,0.923,100.0,1.0,50.0,30,created from current portfolio holdings
kxbtcreserve_27_jan01__us_national_bitcoin_reserve_before_2027,True,KXBTCRESERVE-27-JAN01,"Will Trump create a National Bitcoin Reserve before Jan 1, 2027?",YES,156.0,us-national-bitcoin-reserve-before-2027,US national Bitcoin reserve before 2027?,NO,155.8,2026-12-31,0.8405,100.0,1.0,50.0,30,created from current portfolio holdings
kxmuskoai_26__will_elon_musk_win_his_case_against_sam_altman,True,KXMUSKOAI-26,Will Elon Musk win Musk v. Altman et al?,NO,29.0,will-elon-musk-win-his-case-against-sam-altman,Will Elon Musk win his case against Sam Altman?,YES,29.0,2026-12-31,0.7983,100.0,1.0,50.0,30,created from current portfolio holdings
kxtrumpapprovalbelow_26dec31_40__will_donald_trump_visit_alaska_in_2026,True,KXTRUMPAPPROVALBELOW-26DEC31-40,Will Donald Trump's approval rating on approval rating be below 40% during Dec 2025 to Dec 2026 according to VoteHub?,YES,43.0,will-donald-trump-visit-alaska-in-2026,Will Donald Trump visit Alaska in 2026?,NO,73.0,2026-12-31,0.51,100.0,1.0,50.0,30,created from current portfolio holdings
kxreactor_26dec31__us_grants_license_for_new_nuclear_reactor_in_2026,True,KXREACTOR-26DEC31,"Will a new nuclear reactor be approved by Dec 31, 2026?",YES,233.0,us-grants-license-for-new-nuclear-reactor-in-2026,US grants license for new nuclear reactor in 2026?,NO,232.54,2026-12-31,0.7089,100.0,1.0,50.0,30,created from current portfolio holdings
